,AvgRating,GameName,GameRank,GeekRating,ListPrice,NumVoters
1863,"
			8.33		",Runebound (Third Edition): Unbreakable Bonds,"
						N/A			
					","
			6.230		","
			List: $39.95
		","
			489		"
1864,"
			7.86		",Between Two Cities: Capitals,"
						N/A			
					","
			6.148		","
			List: $20.00
		","
			467		"
1865,"
			6.62		",The Tears of Sango (fan expansion for T.I.M.E Stories),"
						N/A			
					","
			N/A		","]
					","
			8		"
1866,"
			8.75		",Arkham Horror: The Card Game – The Path to Carcosa: Expansion,"
						N/A			
					","
			6.533		","
","
			640		"
1867,"
			8.21		",A Game of Thrones: The Card Game (Second Edition) – The Red Wedding,"
						N/A			
					","
			5.569		","
			List: $14.95
		","
			34		"
1868,"
			8.41		",Android: Netrunner – Free Mars,"
						N/A			
					","
			5.605		","
			List: $14.95
		","
			46		"
1869,"
			8.24		",The Ancient World (Second Edition),"
						N/A			
					","
			N/A		","]
					","
			25		"
1870,"
			8.33		",The Eternal Battle,"
						N/A			
					","
			N/A		","]
					","
			14		"
1871,"
			7.76		",Krosmaster: Arena – Dark Heroes,"
						N/A			
					","
			5.584		","
														
													[","
			49		"
1872,"
			7.00		",Age of War card game,"
						N/A			
					","
			N/A		","
","
			5		"
1873,"
			8.04		",Star Wars: X-Wing Miniatures Game – Imperial Raider Expansion Pack,"
						N/A			
					","
			5.884		","]
					","
			233		"
1874,"
			6.00		",Kaiju Conquest,"
						N/A			
					","
			N/A		","]
					","
			2		"
1875,"
			6.77		",High Bohn: Bohnenduell um 12 Uhr mittags,"
						N/A			
					","
			5.634		","]
					","
			142		"
1876,"
			7.17		",Carcassonne: The River II,"
						N/A			
					","
			6.735		","
","
			4073		"
1877,"
			6.42		",Munchkin Bites! 2: Pants Macabre,"
						N/A			
					","
			5.788		","
			List: $17.99
		","
			721		"
1878,"
			7.42		",Dragon Keepers,"
						N/A			
					","
			N/A		","]
					","
			16		"
1879,"
			6.65		",Posthuman: Defiant Expansion,"
						N/A			
					","
			5.648		","
			List: $29.99
		","
			198		"
1880,"
			7.48		",Carcassonne: Burgen in Deutschland,"
						N/A			
					","
			5.702		","]
					","
			142		"
1881,"
			8.15		",Roll for the Galaxy: Ambition,"
						N/A			
					","
			7.290		","
			List: $32.33
		","
			2623		"
1882,"
			7.48		",Labyrinx,"
						N/A			
					","
			N/A		","]
					","
			28		"
1883,"
			7.14		",Orléans: Weinberge,"
						N/A			
					","
			5.676		","]
					","
			152		"
1884,"
			7.12		",Call of Cthulhu: The Card Game – Journey to Unknown Kadath Asylum Pack,"
						N/A			
					","
			5.572		","
														
													[","
			55		"
1885,"
			5.93		",Train,"
						N/A			
					","
			N/A		","]
					","
			14		"
1886,"
			7.67		",Chaos in the Old World,"
			101			
					","
			7.442		","]
					","
			13158		"
1887,"
			7.69		",Railways of the World,"
			102			
					","
			7.439		","]
					","
			10410		"
1888,"
			7.72		",Ora et Labora,"
			103			
					","
			7.439		","]
					","
			8831		"
1889,"
			7.57		",Suburbia,"
			104			
					","
			7.428		","<a class=""ulprice"" href=""https://itunes.apple.com/us/app/suburbia-city-building-board-game/id681966300?uo=4&amp;mt=8&amp;at=10lazE"" target=""_blank"">iOS App: <span class=""positive"">$6.99</span></a>","
			18867		"
1890,"
			7.82		",Arcadia Quest,"
			105			
					","
			7.427		","]
					","
			7752		"
1891,"
			8.02		",Teotihuacan: City of Gods,"
			106			
					","
			7.427		","]
					","
			4289		"
1892,"
			7.78		",Commands & Colors: Ancients,"
			107			
					","
			7.426		","]
					","
			7401		"
1893,"
			7.95		",Architects of the West Kingdom,"
			108			
					","
			7.424		","]
					","
			5265		"
1894,"
			7.79		",Inis,"
			109			
					","
			7.420		","]
					","
			8278		"
1895,"
			7.67		",Nations,"
			110			
					","
			7.418		","]
					","
			10021		"
1896,"
			7.64		",The Lord of the Rings: The Card Game,"
			111			
					","
			7.413		","]
					","
			18025		"
1897,"
			7.65		",Captain Sonar,"
			112			
					","
			7.410		","]
					","
			11772		"
1898,"
			7.72		",Codenames: Duet,"
			113			
					","
			7.407		","]
					","
			7776		"
